ID;params
90;[[1, 'most-recent', False, False]]
91;[[0, 'first', True, True], [0, 'first', False, True], [0, 'most-recent', True, True], [0, 'most-recent', False, True]]
92;[[0, 'first', True, True], [0, 'first', False, True], [0, 'most-recent', True, True], [0, 'most-recent', False, True], [0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
93;[[1, 'first', False, True]]
94;[[1, 'first', False, False]]
95;[[0, 'first', False, True], [0, 'most-recent', False, True]]
96;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
97;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True], [1, 'first', True, True]]
98;[[1, 'first', False, True]]
99;[[0, 'first', True, True], [0, 'most-recent', True, True]]
100;[[1, 'first', True, False]]
101;[[0, 'first', True, True], [0, 'most-recent', True, True], [0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
102;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
103;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
104;[[0, 'first', False, True], [0, 'most-recent', False, True]]
105;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
106;[[0, 'first', True, False], [0, 'most-recent', True, False], [0.5, 'first', True, True], [0.5, 'first', True, False], [0.5, 'first', False, True], [0.5, 'most-recent', True, True], [0.5, 'most-recent', True, False], [0.5, 'most-recent', False, True], [1, 'first', False, True]]
107;[[0, 'first', True, True], [0, 'first', False, True], [0, 'most-recent', True, True], [0, 'most-recent', False, True], [0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
108;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True], [1, 'first', True, True], [1, 'first', True, False]]
109;[[0, 'first', True, False], [0, 'most-recent', True, False], [0.5, 'first', True, False], [0.5, 'most-recent', True, False], [1, 'first', True, True], [1, 'first', True, False]]
110;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
111;[[1, 'most-recent', False, True]]
112;[[1, 'most-recent', False, True]]
113;[[1, 'first', False, True]]
114;[[0, 'first', True, True], [0, 'most-recent', True, True]]
115;[[0, 'first', True, False], [0, 'most-recent', True, False], [0.5, 'first', True, False], [0.5, 'most-recent', True, False]]
116;[[1, 'first', True, True], [1, 'first', True, False], [1, 'first', False, True], [1, 'most-recent', False, True], [1, 'most-recent', False, False]]
117;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
118;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
119;[[1, 'first', False, True]]
